cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,full_name,first_name,last_name
"ABBOTT, MARTHA",S2VT00359,S,VT,,OTH,,Martha Abbott,Martha,Abbott
"NOLFI, BARBARA",S2VT00367,S,VT,,OTH,,Barbara Nolfi,Barbara,Nolfi
"MURRAY, PATTY",S2WA00189,S,WA,0,DEM,INCUMBENT,Patty Murray,Patty,Murray
"SLEISTER, NICOLAUS",S2WA00338,S,WA,0,DEM,CHALLENGER,Nicolaus Sleister,Nicolaus,Sleister
"KIRBY, ROBERT W",S2WA00346,S,WA,0,DEM,CHALLENGER,Robert Kirby,Robert,Kirby
"HUSSEY, LARRY",S2WA00353,S,WA,0,NPA,CHALLENGER,Larry Hussey,Larry,Hussey
"MPIANA, MFUMU METAMORPHOSIS REV",S2WA00361,S,WA,0,UN,CHALLENGER,Mfumu Metamorphosis Rev Mpiana,Mfumu Metamorphosis Rev,Mpiana
"WERNER II, MICHAEL JOSEPH",S2WA00379,S,WA,0,REP,CHALLENGER,Michael Joseph Werner Ii,Michael Joseph,Werner Ii
"SMILEY, TIFFANY",S2WA00387,S,WA,0,REP,CHALLENGER,Tiffany Smiley,Tiffany,Smiley
"PIERRE, RAVIN R",S2WA00395,S,WA,0,DEM,CHALLENGER,Ravin Pierre,Ravin,Pierre
"GREYWOLF, JUSTIN",S2WA00403,S,WA,0,IND,CHALLENGER,Justin Greywolf,Justin,Greywolf
"ISHII, DAVID TADASHI",S2WA00411,S,WA,0,DEM,CHALLENGER,David Tadashi Ishii,David Tadashi,Ishii
"HAGGLUND, BOB",S2WA00429,S,WA,0,REP,CHALLENGER,Bob Hagglund,Bob,Hagglund
"PAUL, NAZ",S2WA00437,S,WA,0,IND,CHALLENGER,Naz Paul,Naz,Paul
"SOLSTIN, BRYAN",S2WA00445,S,WA,0,DEM,CHALLENGER,Bryan Solstin,Bryan,Solstin
"MCCUNE, DAVID E",S2WA00452,S,WA,0,IND,CHALLENGER,David Mccune,David,Mccune
"HOLYK, ISAAC A",S2WA00460,S,WA,0,REP,CHALLENGER,Isaac Holyk,Isaac,Holyk
"HUSSEY, LAWRENCE",S2WA00478,S,WA,0,IND,CHALLENGER,Lawrence Hussey,Lawrence,Hussey
"LAWSON, LEON MR",S2WA00486,S,WA,0,REP,CHALLENGER,Leon Lawson,Leon,Lawson
"CUSMIR, SAM",S2WA00502,S,WA,,DEM,,Sam Cusmir,Sam,Cusmir
"GUENTHER, JOHN",S2WA00510,S,WA,,REP,,John Guenther,John,Guenther
"HIRT, BILL",S2WA00528,S,WA,,REP,,Bill Hirt,Bill,Hirt
"SAULIBIO, DAVE",S2WA00536,S,WA,,OTH,,Dave Saulibio,Dave,Saulibio
"DOAN, DAN PHAN",S2WA00544,S,WA,,NOP,,Dan Phan Doan,Dan Phan,Doan
"HASH, MARTIN D.",S2WA00551,S,WA,,NOP,,Martin Hash,Martin,Hash
"DENNISON, HENRY CLAY",S2WA00569,S,WA,,OTH,,Henry Clay Dennison,Henry Clay,Dennison
"D'AMICO, SAMUEL NICHOLAS MR",S2WI00300,S,WI,0,DEM,OPEN,Samuel Nicholas D?Amico,Samuel Nicholas,D?Amico
"FRANK, AARON",S2WI00318,S,WI,0,IND,OPEN,Aaron Frank,Aaron,Frank
"SPENCER, BRADFORD",S2WI00326,S,WI,0,IND,OPEN,Bradford Spencer,Bradford,Spencer
"BATTINO, GILLIAN M.D.",S2WI00334,S,WI,0,DEM,OPEN,Gillian Battino,Gillian,Battino
"LASRY, ALEX",S2WI00342,S,WI,0,DEM,CHALLENGER,Alex Lasry,Alex,Lasry
"GODLEWSKI, SARAH",S2WI00359,S,WI,0,DEM,CHALLENGER,Sarah Godlewski,Sarah,Godlewski
"NEUBERT, KEITH",S2WI00367,S,WI,0,REP,CHALLENGER,Keith Neubert,Keith,Neubert
"AUBART, SCOTT ALAN MR",S2WI00375,S,WI,0,AIP,CHALLENGER,Scott Alan Aubart,Scott Alan,Aubart
"OLIKARA, STEVEN",S2WI00383,S,WI,0,DEM,CHALLENGER,Steven Olikara,Steven,Olikara
"LARSON, CHRISTOPHER",S2WI00391,S,WI,0,DEM,CHALLENGER,Christopher Larson,Christopher,Larson
"MURPHY, ADAM CHRISTOPHER",S2WI00409,S,WI,0,DEM,CHALLENGER,Adam Christopher Murphy,Adam Christopher,Murphy
"PECKARSKY, PETER",S2WI00417,S,WI,0,DEM,CHALLENGER,Peter Peckarsky,Peter,Peckarsky
"LEE, KOU C",S2WI00433,S,WI,0,DEM,CHALLENGER,Kou Lee,Kou,Lee
"BARNES, MANDELA",S2WI00441,S,WI,0,DEM,CHALLENGER,Mandela Barnes,Mandela,Barnes
"LEWIS, CHANTIA",S2WI00458,S,WI,0,DEM,CHALLENGER,Chantia Lewis,Chantia,Lewis
"WILLIAMS, DARRELL L. DR.",S2WI00466,S,WI,0,DEM,CHALLENGER,Darrell Williams,Darrell,Williams
"RUMBAUGH, JEFF MR",S2WI00474,S,WI,0,DEM,CHALLENGER,Jeff Rumbaugh,Jeff,Rumbaugh
"BEYER, BRAD",S2WI00482,S,WI,0,REP,CHALLENGER,Brad Beyer,Brad,Beyer
"DOTY, JUSTIN DANIEL",S2WI00490,S,WI,0,REP,CHALLENGER,Justin Daniel Doty,Justin Daniel,Doty
"BENEDETTO, ADAM SIIK",S2WI00508,S,WI,0,REP,CHALLENGER,Adam Benedetto,Adam,Benedetto
"LONG, NEAL",S2WI00516,S,WI,0,LIB,CHALLENGER,Neal Long,Neal,Long
"SCHROEDER, DAVID",S2WI00524,S,WI,,REP,,David Schroeder,David,Schroeder
"PAUL, ADAM NICHOLAS",S2WI00532,S,WI,0,IND,,Adam Nicholas Paul,Adam Nicholas,Paul
"MURKOWSKI, LISA",S4AK00099,S,AK,0,REP,INCUMBENT,Lisa Murkowski,Lisa,Murkowski
"GIANOUTSOS, TED",S4AK00115,S,AK,,N,,Ted Gianoutsos,Ted,Gianoutsos
"GRUNDMANN, DON J.",S4CA00332,S,CA,0,NNE,CHALLENGER,Don Grundmann,Don,Grundmann
"PERDUE, DAVID",S4GA11285,S,GA,0,REP,CHALLENGER,David Perdue,David,Perdue
