cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,full_name,first_name,last_name
"DUNN, MICHAEL BLAKE",S2AL00178,S,AL,0,REP,OPEN,Michael Blake Dunn,Michael Blake,Dunn
"SANDERS, JARMAL JABBAR REV",S2AL00186,S,AL,0,UN,OPEN,Jarmal Jabbar Sander,Jarmal Jabbar,Sander
"BODDIE, LILLIE",S2AL00194,S,AL,0,REP,OPEN,Lillie Boddie,Lillie,Boddie
"DURANT, MICHAEL",S2AL00202,S,AL,0,REP,OPEN,Michael Durant,Michael,Durant
"BOWERS, RICHARD ADAM MR.",S2AL00210,S,AL,0,NPA,OPEN,Richard Adam Bowers,Richard Adam,Bowers
"DUPRIEST, KARLA",S2AL00228,S,AL,0,REP,OPEN,Karla Dupriest,Karla,Dupriest
"JACKSON, LANNY EDWARD MR.",S2AL00236,S,AL,0,DEM,OPEN,Lanny Edward Jackson,Lanny Edward,Jackson
"PRIDMORE, JAY P",S2AL00244,S,AL,0,REP,OPEN,Jay Pridmore,Jay,Pridmore
"BOYD, WILLIE EUGENE DR. JR.",S2AL00251,S,AL,0,DEM,OPEN,Willie Eugene Jr. Boyd,Willie Eugene Jr.,Boyd
"WILLIAMS, VICTOR MAGA PROF.",S2AL00277,S,AL,0,UNK,OPEN,Victor Williams,Victor,Williams
"FLOWERS, BRENT",S2AL00285,S,AL,0,DEM,OPEN,Brent Flowers,Brent,Flowers
"SOPHOCLEUS, JOHN",S2AL00293,S,AL,,LIB,,John Sophocleus,John,Sophocleus
"LOFTIS, HEATH PASTOR",S2AR00073,S,AR,0,REP,CHALLENGER,Heath Loftis,Heath,Loftis
"MORGAN, JAN",S2AR00081,S,AR,0,REP,CHALLENGER,Jan Morgan,Jan,Morgan
"DEEL, MICHAEL",S2AR00099,S,AR,0,REP,CHALLENGER,Michael Deel,Michael,Deel
"BEQUETTE, JAKE MR.",S2AR00107,S,AR,0,REP,CHALLENGER,Jake Bequette,Jake,Bequette
"JAMES, NATALIE",S2AR00115,S,AR,0,DEM,CHALLENGER,Natalie James,Natalie,James
"FOSTER, JACK EDWARD",S2AR00123,S,AR,0,DEM,CHALLENGER,Jack Edward Foster,Jack Edward,Foster
"CATES, KENNETH",S2AR00131,S,AR,,LIB,,Kenneth Cates,Kenneth,Cates
"SHIRRELL, STUART F",S2AR00149,S,AR,,IND,,Stuart Shirrell,Stuart,Shirrell
"GANT, RICHARD 'NAP'",S2AR00156,S,AR,,WI,,Nap Gant,Nap,Gant
"GARNER, JAMES",S2AR00164,S,AR,,WI,,James Garner,James,Garner
"VICTOR, MARC J",S2AZ00299,S,AZ,0,LIB,CHALLENGER,Marc Victor,Marc,Victor
"PAVEZA, ROBERT",S2AZ00323,S,AZ,0,REP,CHALLENGER,Robert Paveza,Robert,Paveza
"LAMON, JIM MR",S2AZ00331,S,AZ,0,REP,CHALLENGER,Jim Lamon,Jim,Lamon
"MCGUIRE, MICHAEL MICK",S2AZ00349,S,AZ,0,REP,CHALLENGER,Michael Mick Mcguire,Michael Mick,Mcguire
"BRNOVICH, MARK MR.",S2AZ00356,S,AZ,0,REP,CHALLENGER,Mark Brnovich,Mark,Brnovich
"PRABHALA, KEERTHI KIRAN MR",S2AZ00364,S,AZ,0,REP,CHALLENGER,Keerthi Kiran Prabhala,Keerthi Kiran,Prabhala
"MASTERS, BLAKE",S2AZ00372,S,AZ,0,REP,CHALLENGER,Blake Masters,Blake,Masters
"OLSON, JUSTIN",S2AZ00380,S,AZ,0,REP,CHALLENGER,Justin Olson,Justin,Olson
"STREETER, JAMES DOUGLAS",S2AZ00398,S,AZ,0,REP,CHALLENGER,James Douglas Streeter,James Douglas,Streeter
"BERTONE, FRANK",S2AZ00422,S,AZ,0,REP,CHALLENGER,Frank Bertone,Frank,Bertone
"VAN ANTWERP, JONATHAN LEE",S2AZ00430,S,AZ,0,DEM,,Jonathan Lee Van Antwerp,Jonathan Lee,Van Antwerp
"BOZIC, DAVID",S2AZ00448,S,AZ,,W,,David Bozic,David,Bozic
"CARROLL, JERRY LEON",S2CA00591,S,CA,0,OTH,CHALLENGER,Jerry Leon Carroll,Jerry Leon,Carroll
"GUTIERREZ, PAUL ANTHONY",S2CA00849,S,CA,0,REP,CHALLENGER,Paul Anthony Gutierrez,Paul Anthony,Gutierrez
"WILLIAMS, BRANT JOHN-MICHAEL",S2CA00856,S,CA,0,IND,CHALLENGER,Brant John-Michael Williams,Brant John-Michael,Williams
"WHITNEY, ELLERTON PRATT MARK MR. III",S2CA00864,S,CA,0,LIB,CHALLENGER,Ellerton Pratt Mark III Whitney,Ellerton Pratt Mark III,Whitney
"LIEW, SARAH DR.",S2CA00872,S,CA,0,REP,CHALLENGER,Sarah Liew,Sarah,Liew
"LIU, PETER Y",S2CA00880,S,CA,0,REP,CHALLENGER,Peter Liu,Peter,Liu
"LUCERO, ROBERT GEORGE MR JR",S2CA00898,S,CA,0,REP,CHALLENGER,Robert George Jr Lucero,Robert George Jr,Lucero
"URBINA, ERIK",S2CA00906,S,CA,0,REP,CHALLENGER,Erik Urbina,Erik,Urbina
"THACH, MARY",S2CA00914,S,CA,0,NNE,CHALLENGER,Mary Thach,Mary,Thach
"KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTRELVIA",S2CA00922,S,CA,0,OTH,CHALLENGER,Fepbrina Estrelvia Keivaulqe Autiameineire,Fepbrina Estrelvia,Keivaulqe Autiameineire
"HERLE, DHRUVA",S2CA00930,S,CA,0,DEM,CHALLENGER,Dhruva Herle,Dhruva,Herle
"ZHOU, LIJUN (LILY)",S2CA00948,S,CA,,REP,CHALLENGER,Lily Zhou,Lily,Zhou
"PADILLA, ALEX",S2CA00955,S,CA,0,DEM,INCUMBENT,Alex Padilla,Alex,Padilla
"AINSWORTH, BRIAN KEVIN",S2CA00963,S,CA,0,REP,CHALLENGER,Brian Kevin Ainsworth,Brian Kevin,Ainsworth
"TAYLOR, PAUL A MR",S2CA00971,S,CA,0,REP,CHALLENGER,Paul Taylor,Paul,Taylor
"INGRAM, DENARD TYRONE",S2CA00989,S,CA,0,DEM,CHALLENGER,Denard Tyrone Ingram,Denard Tyrone,Ingram
"GIRARD, YVONNE RENEE",S2CA00997,S,CA,0,REP,CHALLENGER,Yvonne Renee Girard,Yvonne Renee,Girard
"HENG, ELIZABETH",S2CA01003,S,CA,0,REP,CHALLENGER,Elizabeth Heng,Elizabeth,Heng
"TAYLOR, ERNEST JUNIOR",S2CA01029,S,CA,0,DEM,CHALLENGER,Ernest Junior Taylor,Ernest Junior,Taylor
"KHENSON, MAX",S2CA01037,S,CA,0,DEM,CHALLENGER,Max Khenson,Max,Khenson
"MEHTA, URVISHKUMAR MR",S2CA01045,S,CA,0,FED,CHALLENGER,Urvishkumar Mehta,Urvishkumar,Mehta
"PIRJADA, OBAIDUL HUQ",S2CA01052,S,CA,0,DEM,CHALLENGER,Obaidul Huq Pirjada,Obaidul Huq,Pirjada
"MEUSER, MARK",S2CA01060,S,CA,0,REP,CHALLENGER,Mark Meuser,Mark,Meuser
"CONN, JAMES HENRY",S2CA01078,S,CA,0,GRE,CHALLENGER,James Henry Conn,James Henry,Conn
"WILLIAMS, CORDIE LEE DR.",S2CA01094,S,CA,0,REP,CHALLENGER,Cordie Lee Williams,Cordie Lee,Williams
"TEMURI, PRINCE MUHAMMAD ALI HH",S2CA01102,S,CA,0,UPP,CHALLENGER,Prince Muhammad Ali Hh Temuri,Prince Muhammad Ali Hh,Temuri
"SMITH, CHARLES E",S2CA01110,S,CA,0,REP,CHALLENGER,Charles Smith,Charles,Smith
"SQUAREPANTS, SPONGEBOB JOHN MR",S2CA01128,S,CA,0,REP,CHALLENGER,Spongebob John Squarepants,Spongebob John,Squarepants
"SQUAREPANTS, SPONGEBOB ADAM MR JR",S2CA01136,S,CA,0,LIB,CHALLENGER,Spongebob Adam Jr Squarepants,Spongebob Adam Jr,Squarepants
"RATLIFF, IRENE",S2CA01169,S,CA,,NOP,CHALLENGER,Irene Ratliff,Irene,Ratliff
"HOLLETT-BILLINGSLEY, CHLOE",S2CA01177,S,CA,0,DEM,CHALLENGER,Chloe Hollett-Billingsley,Chloe,Hollett-Billingsley
"HALL, MYRON LOUIS DR.",S2CA01185,S,CA,0,REP,CHALLENGER,Myron Louis Hall,Myron Louis,Hall
"THEODORE, CHRIS MARK MR.",S2CA01201,S,CA,0,DEM,CHALLENGER,Chris Mark Theodore,Chris Mark,Theodore
"ARNOLD, MARIE ENCAR A",S2CA01227,S,CA,0,DEM,CHALLENGER,Marie Encar Arnold,Marie Encar,Arnold
"ELIST, JON",S2CA01250,S,CA,0,REP,CHALLENGER,Jon Elist,Jon,Elist
"REYNOLDS, TODD",S2CA01268,S,CA,0,DEM,CHALLENGER,Todd Reynolds,Todd,Reynolds
"URSICH, TIMOTHY J DR",S2CA01276,S,CA,0,DEM,CHALLENGER,Timothy Ursich,Timothy,Ursich
"O'DOWD, DAN",S2CA01284,S,CA,0,DEM,CHALLENGER,Dan O'Dowd,Dan,O'Dowd
"LOVE, BARRY PAUL",S2CA01292,S,CA,0,REP,CHALLENGER,Barry Paul Love,Barry Paul,Love
"PETRIS, ENRIQUE",S2CA01300,S,CA,,REP,,Enrique Petris,Enrique,Petris
"TAPIA, CARLOS GUILLERMO",S2CA01318,S,CA,,REP,,Carlos Guillermo Tapia,Carlos Guillermo,Tapia
"ROTH, MARC ALEXANDER",S2CA01326,S,CA,,NOP,,Marc Alexander Roth,Marc Alexander,Roth
"RUZON, MARK A",S2CA01334,S,CA,,NOP,,Mark Ruzon,Mark,Ruzon
"HENRY, JULI",S2CO00159,S,CO,0,REP,CHALLENGER,Juli Henry,Juli,Henry
"YU, PETER",S2CO00167,S,CO,0,REP,CHALLENGER,Peter Yu,Peter,Yu
"AADLAND, ERIK",S2CO00175,S,CO,0,REP,CHALLENGER,Erik Aadland,Erik,Aadland
"BRESLIN, KAREN",S2CO00191,S,CO,0,DEM,CHALLENGER,Karen Breslin,Karen,Breslin
"BREMER, ELI",S2CO00209,S,CO,0,REP,CHALLENGER,Eli Bremer,Eli,Bremer
"TREVI?O, AARON DAVID",S2CO00217,S,CO,0,NPA,CHALLENGER,Aaron David Trevi?O,Aaron David,Trevi?O
"CAMPANA, GINO",S2CO00225,S,CO,0,REP,CHALLENGER,Gino Campana,Gino,Campana
"HANKS, RON",S2CO00233,S,CO,0,REP,CHALLENGER,Ron Hanks,Ron,Hanks
"O'DEA, JOSEPH MATTHEW",S2CO00241,S,CO,0,REP,CHALLENGER,Joseph Matthew O'Dea,Joseph Matthew,O'Dea
"FLORA, DEBORAH",S2CO00258,S,CO,0,REP,CHALLENGER,Deborah Flora,Deborah,Flora
"ANDERSON, TEAL'C MR",S2CO00266,S,CO,0,FRE,CHALLENGER,Teal'C Anderson,Teal'C,Anderson
"MOORE, GREGORY JOHN DR.",S2CO00274,S,CO,0,REP,CHALLENGER,Gregory John Moore,Gregory John,Moore
"HENDRICKS, DANIEL",S2CO00282,S,CO,,REP,CHALLENGER,Daniel Hendricks,Daniel,Hendricks
"ATWOOD, FRANK FISHER",S2CO00308,S,CO,,OTH,CHALLENGER,Frank Fisher Atwood,Frank Fisher,Atwood
"HYDE, ROBERT FINLEY",S2CT00256,S,CT,0,REP,CHALLENGER,Robert Finley Hyde,Robert Finley,Hyde
"FLYNN, JOHN J",S2CT00264,S,CT,0,REP,CHALLENGER,John Flynn,John,Flynn
"LUMAJ, PJERIN (PETER)",S2CT00272,S,CT,0,REP,CHALLENGER,Peter Lumaj,Peter,Lumaj
"NARWHAL, DEXTER",S2CT00298,S,CT,0,IND,CHALLENGER,Dexter Narwhal,Dexter,Narwhal
"KLARIDES, THEMIS",S2CT00306,S,CT,0,REP,CHALLENGER,Themis Klarides,Themis,Klarides
"LEVY, LEORA",S2CT00314,S,CT,0,REP,CHALLENGER,Leora Levy,Leora,Levy
"CONNORS, NICHOLAS",S2CT00322,S,CT,0,REP,CHALLENGER,Nicholas Connors,Nicholas,Connors
"HYDUCHAK, ANDREW",S2CT00330,S,CT,0,NNE,CHALLENGER,Andrew Hyduchak,Andrew,Hyduchak
"TALMADGE, KRISTI L",S2CT00348,S,CT,0,UN,,Kristi Talmadge,Kristi,Talmadge
"MULDER, FOX MR",S2DC00021,S,DC,0,DEM,CHALLENGER,Fox Mulder,Fox,Mulder
"GRANDA, GRACE",S2FL00425,S,FL,0,UNK,CHALLENGER,Grace Granda,Grace,Granda
"BARBERENA, CARLOS JOSE",S2FL00433,S,FL,0,NPA,CHALLENGER,Carlos Jose Barberena,Carlos Jose,Barberena
"LAROSE, JOSUE",S2FL00441,S,FL,0,DEM,CHALLENGER,Josue Larose,Josue,Larose
"ELLISON, ALLEN",S2FL00458,S,FL,0,DEM,CHALLENGER,Allen Ellison,Allen,Ellison
"WEIL, JOSHUA JOSEPH",S2FL00466,S,FL,0,DEM,CHALLENGER,Joshua Joseph Weil,Joshua Joseph,Weil
"LOUBRIEL, JAKE PHILIP",S2FL00474,S,FL,0,REP,CHALLENGER,Jake Philip Loubriel,Jake Philip,Loubriel
"ABUD, EDWARD",S2FL00482,S,FL,0,DEM,CHALLENGER,Edward Abud,Edward,Abud
"MIGUEL, LUIS",S2FL00490,S,FL,0,REP,CHALLENGER,Luis Miguel,Luis,Miguel
"GRANT, STEVEN B",S2FL00508,S,FL,0,NPA,CHALLENGER,Steven Grant,Steven,Grant
"HOLIC, JASON KYLE",S2FL00516,S,FL,0,NNE,OPEN,Jason Kyle Holic,Jason Kyle,Holic
"WALLS-WINDHAUSER, M. ANGELA",S2FL00524,S,FL,0,REP,CHALLENGER,M. Angela Walls-Windhauser,M. Angela,Walls-Windhauser
"PINNEY, DWAYNE",S2FL00532,S,FL,0,REP,CHALLENGER,Dwayne Pinney,Dwayne,Pinney
"BENNETT, SHANTELE RENEE N/A",S2FL00540,S,FL,0,UN,CHALLENGER,Shantele Renee Bennett,Shantele Renee,Bennett
"DRIGGERS, CALVIN JOB",S2FL00557,S,FL,0,REP,CHALLENGER,Calvin Job Driggers,Calvin Job,Driggers
"GRAYSON, ALAN MARK",S2FL00581,S,FL,10,DEM,CHALLENGER,Alan Mark Grayson,Alan Mark,Grayson
"MILLER, ERVAN KATARI",S2FL00599,S,FL,0,REP,CHALLENGER,Ervan Katari Miller,Ervan Katari,Miller
"PASTRANA, ALLEK",S2FL00607,S,FL,0,DEM,CHALLENGER,Allek Pastrana,Allek,Pastrana
"MISIGOY, DENNIS",S2FL00615,S,FL,0,LIB,CHALLENGER,Dennis Misigoy,Dennis,Misigoy
"SANCHEZ, WILLIAM",S2FL00623,S,FL,0,DEM,CHALLENGER,William Sanchez,William,Sanchez
"DEMINGS, VAL",S2FL00631,S,FL,0,DEM,CHALLENGER,Val Demings,Val,Demings
"RUSSELL, KEN",S2FL00649,S,FL,27,DEM,CHALLENGER,Ken Russell,Ken,Russell
"NGUYEN, QUOC TUAN MR.",S2FL00656,S,FL,0,NPA,CHALLENGER,Quoc Tuan Nguyen,Quoc Tuan,Nguyen
"DEVINE, TIMOTHY MICHAEL",S2FL00664,S,FL,0,W,CHALLENGER,Timothy Michael Devine,Timothy Michael,Devine
"WATSON, COLEMAN",S2FL00672,S,FL,0,DEM,CHALLENGER,Coleman Watson,Coleman,Watson
"FOX, ALBERT A MR JR",S2FL00680,S,FL,0,DEM,CHALLENGER,Albert Jr Fox,Albert Jr,Fox
"SAIDE, AHMAD JR",S2FL00698,S,FL,0,NNE,CHALLENGER,Ahmad Jr Saide,Ahmad Jr,Saide
"DEPUY, KEVIN C GYSGT",S2FL00706,S,FL,0,REP,CHALLENGER,Kevin C Gysgt Depuy,Kevin C Gysgt,Depuy
"EKPETE, ULOMA UMA DR.",S2FL00714,S,FL,0,W,CHALLENGER,Uloma Uma Ekpete,Uloma Uma,Ekpete
"HERNANDEZ, SALOMON SR.",S2FL00722,S,FL,0,W,CHALLENGER,Salomon Sr. Hernandez,Salomon Sr.,Hernandez
"QUILES, MOSES J",S2FL00730,S,FL,0,NNE,CHALLENGER,Moses Quiles,Moses,Quiles
"RUSH, BRIAN P",S2FL00748,S,FL,0,DEM,,Brian P Rush,Brian P,Rush
"DE LA FUENTE, RICARDO",S2FL00763,S,FL,0,DEM,,Ricardo De La Fuente,Ricardo,De La Fuente
"SADDLER, LATHAM",S2GA00175,S,GA,0,REP,CHALLENGER,Latham Saddler,Latham,Saddler
"KING, KELVIN",S2GA00183,S,GA,0,REP,CHALLENGER,Kelvin King,Kelvin,King
"NESTOR, JAMES EDWARD MR.",S2GA00191,S,GA,0,REP,CHALLENGER,James Edward Nestor,James Edward,Nestor
"BLACK, GARY",S2GA00209,S,GA,0,REP,CHALLENGER,Gary Black,Gary,Black
"CRAIG, JARED B ESQ",S2GA00217,S,GA,0,REP,CHALLENGER,Jared Craig,Jared,Craig
"WALKER, HERSCHEL MR.",S2GA00225,S,GA,0,REP,CHALLENGER,Herschel Walker,Herschel,Walker
"JOHNSON, ERIC CHASE",S2GA00233,S,GA,0,IND,CHALLENGER,Eric Chase Johnson,Eric Chase,Johnson
"LITCHFIELD, GEORGE E MR. II",S2GA00258,S,GA,0,CRV,CHALLENGER,George II Litchfield,George II,Litchfield
"CLARK, JOSHUA STEPHEN",S2GA00266,S,GA,0,REP,CHALLENGER,Joshua Stephen Clark,Joshua Stephen,Clark
"CHASE, OLIVER",S2GA00274,S,GA,0,LIB,CHALLENGER,Oliver Chase,Oliver,Chase
"MCCOLUMN, JONATHAN MR",S2GA00282,S,GA,0,REP,CHALLENGER,Jonathan Mccolumn,Jonathan,Mccolumn
"JACKSON, ANNETTE JACKSON",S2GA00308,S,GA,0,W,,Annette Jackson,Annette,Jackson
"MCDERMOTT, ROBERT C",S2HI00155,S,HI,0,REP,CHALLENGER,Robert Mcdermott,Robert,Mcdermott
"LAVONNE, ASIA",S2HI00163,S,HI,0,REP,CHALLENGER,Asia Lavonne,Asia,Lavonne
"BONOAN, FEENA",S2HI00171,S,HI,0,LIB,CHALLENGER,Feena Bonoan,Feena,Bonoan
"COLLINS, CHARLES AUGUSTINE MR",S2HI00189,S,HI,0,REP,CHALLENGER,Charles Augustine Collins,Charles Augustine,Collins
"DALHOUSE, TIMOTHY ALAN MR.",S2HI00197,S,HI,0,REP,,Timothy Alan Dalhouse,Timothy Alan,Dalhouse
"POHLMAN, EMMA JANE AVILA",S2HI00205,S,HI,0,GRE,,Emma Jane Avila Pohlman,Emma Jane Avila,Pohlman
"DECKER, DANIEL BURT MR IV",S2HI00213,S,HI,0,OTH,,Daniel Burt IV Decker,Daniel Burt IV,Decker
"CHRISTIAN, WALLYN",S2HI00221,S,HI,,REP,,Wallyn Christian,Wallyn,Christian
"BOND, STEVEN R.",S2HI00239,S,HI,,REP,,Steven Bond,Steven,Bond
"CARLIN, JAMES M.",S2IA00131,S,IA,0,REP,CHALLENGER,James Carlin,James,Carlin
"MUHLBAUER, DAVE MR.",S2IA00149,S,IA,0,DEM,CHALLENGER,Dave Muhlbauer,Dave,Muhlbauer
"HURST, GLENN",S2IA00156,S,IA,0,DEM,CHALLENGER,Glenn Hurst,Glenn,Hurst
"FINKENAUER, ABBY",S2IA00164,S,IA,0,DEM,CHALLENGER,Abby Finkenauer,Abby,Finkenauer
"FRANKEN, MICHAEL T",S2IA00172,S,IA,0,DEM,CHALLENGER,Michael Franken,Michael,Franken
"FOSTER, ANDREW JACKSON V",S2IA00180,S,IA,0,REP,CHALLENGER,Andrew Jackson Foster,Andrew Jackson,Foster
"GILBERT, JEREMY JOSEPH",S2ID00111,S,ID,0,REP,CHALLENGER,Jeremy Joseph Gilbert,Jeremy Joseph,Gilbert
"TROTTER, JAMES SCOTT",S2ID00129,S,ID,0,REP,CHALLENGER,James Scott Trotter,James Scott,Trotter
"LITTLE, MIKE JAMES MR JR",S2ID00137,S,ID,0,REP,CHALLENGER,Mike James Jr Little,Mike James Jr,Little
"CLEVELAND, SCOTT OH",S2ID00145,S,ID,0,UN,CHALLENGER,Scott Oh Cleveland,Scott Oh,Cleveland
"NICHOLS, THEODORE NICHOLS",S2ID00152,S,ID,0,DEM,CHALLENGER,Theodore Nichols Nichols,Theodore Nichols,Nichols
"BOURN, BRENDA",S2ID00160,S,ID,0,REP,CHALLENGER,Brenda Bourn,Brenda,Bourn
"ROTH, DAVID JORDAN",S2ID00178,S,ID,0,DEM,CHALLENGER,David Jordan Roth,David Jordan,Roth
"TURNBULL, RAMONT",S2ID00186,S,ID,,REP,CHALLENGER,Ramont Turnbull,Ramont,Turnbull
"PURSLEY, BENJAMIN",S2ID00194,S,ID,0,DEM,CHALLENGER,Benjamin Pursley,Benjamin,Pursley
"SIERRA, CARTA REALE",S2ID00202,S,ID,,LIB,CHALLENGER,Carta Reale Sierra,Carta Reale,Sierra
"SALINAS, ALLISON",S2IL00143,S,IL,0,REP,CHALLENGER,Allison Salinas,Allison,Salinas
"ARVIEW, TIMOTHY C",S2IL00150,S,IL,0,REP,CHALLENGER,Timothy Arview,Timothy,Arview
"CRUZ, ROBERT ROB",S2IL00168,S,IL,0,REP,CHALLENGER,Rob Cruz,Rob,Cruz
"HAUSKINS, DANIEL OBAMA MR JR",S2IL00176,S,IL,0,GWP,CHALLENGER,Daniel Hauskins,Daniel,Hauskins
"PITON, ROBERT 'BOBBY'",S2IL00184,S,IL,0,REP,CHALLENGER,Bobby Piton,Bobby,Piton
"WALLACE, ERIC M",S2IL00192,S,IL,0,REP,CHALLENGER,Eric Wallace,Eric,Wallace
"CHLEBEK, CASEY",S2IL00200,S,IL,0,REP,CHALLENGER,Casey Chlebek,Casey,Chlebek
"WALKER, IESHA NICOLE",S2IL00218,S,IL,0,DEM,CHALLENGER,Iesha Nicole Walker,Iesha Nicole,Walker
"REDPATH, WILLIAM MR.",S2IL00226,S,IL,0,LIB,CHALLENGER,William Redpath,William,Redpath
"TILLMAN, JIMMY LEE II",S2IL00234,S,IL,0,REP,CHALLENGER,Jimmy Lee II Tillman,Jimmy Lee II,Tillman
"HUDSON, LANETTE MS",S2IL00242,S,IL,0,REP,CHALLENGER,Lanette Hudson,Lanette,Hudson
"DUBIEL, MATTHEW JAMES",S2IL00259,S,IL,0,REP,CHALLENGER,Matthew James Dubiel,Matthew James,Dubiel
"SALVI, KATHY RAYE",S2IL00267,S,IL,0,REP,CHALLENGER,Kathy Raye Salvi,Kathy Raye,Salvi
"HORGES, BRADLEY LAMAR MR. JR.",S2IL00283,S,IL,0,W,,Bradley Lamar Jr. Horges,Bradley Lamar Jr.,Horges
"WILLIAMS, ANTHONY W",S2IL00291,S,IL,,REP,,Anthony Williams,Anthony,Williams
"MARCOTTE, KELLY LYNN MS",S2IL00309,S,IL,0,DEM,,Kelly Lynn Marcotte,Kelly Lynn,Marcotte
"KHAALIQ, HANEEFAH MS.",S2IN00133,S,IN,0,DEM,CHALLENGER,Haneefah Khaaliq,Haneefah,Khaaliq
"GABEHART, JASON",S2IN00158,S,IN,0,IND,CHALLENGER,Jason Gabehart,Jason,Gabehart
"MCCRAY, VALERIE L DR",S2IN00166,S,IN,0,DEM,CHALLENGER,Valerie Mccray,Valerie,Mccray
"KIZIK, ELLEN MS.",S2IN00174,S,IN,0,NON,CHALLENGER,Ellen Kizik,Ellen,Kizik
"NIEDERBERGER, DANIEL MR",S2IN00182,S,IN,0,REP,CHALLENGER,Daniel Niederberger,Daniel,Niederberger
"X, MALCOLM MR.",S2IN00190,S,IN,0,DEM,CHALLENGER,Malcolm X,Malcolm,X
"MCDERMOTT, THOMAS M. JR",S2IN00208,S,IN,0,DEM,CHALLENGER,Thomas Jr Mcdermott,Thomas Jr,Mcdermott
"PIPER, JOHN",S2IN00232,S,IN,0,REP,CHALLENGER,John Piper,John,Piper
"HENRY, WILL",S2IN00281,S,IN,0,LIB,CHALLENGER,Will Henry,Will,Henry
"SCENIAK, JAMES",S2IN00307,S,IN,0,LIB,,James Sceniak,James,Sceniak
"YOUNG, ALEEM MR",S2IN00315,S,IN,0,IND,,Aleem Young,Aleem,Young
"SOETAERT, MICHAEL",S2KS00097,S,KS,0,DEM,CHALLENGER,Michael Soetaert,Michael,Soetaert
"HOLLAND, MARK R. REV.",S2KS00113,S,KS,0,DEM,CHALLENGER,Mark Holland,Mark,Holland
"KLINGENBERG, ROBERT JOSEPH",S2KS00121,S,KS,0,DEM,CHALLENGER,Robert Joseph Klingenberg,Robert Joseph,Klingenberg
"BUSKIRK, PAUL",S2KS00139,S,KS,0,DEM,,Paul Buskirk,Paul,Buskirk
"ANDRA, MIKE",S2KS00147,S,KS,,DEM,,Mike Andra,Mike,Andra
"GRAHAM, DAVID C.",S2KS00154,S,KS,,LIB,CHALLENGER,David Graham,David,Graham
"GAO, RUTH DR.",S2KY00111,S,KY,0,DEM,CHALLENGER,Ruth Gao,Ruth,Gao
"FREDRICK, VAL DR",S2KY00129,S,KY,0,REP,CHALLENGER,Val Fredrick,Val,Fredrick
"STAINFIELD, TAMI L.",S2KY00137,S,KY,0,REP,CHALLENGER,Tami Stainfield,Tami,Stainfield
"BIERY, DAVID",S2KY00145,S,KY,0,LIB,CHALLENGER,David Biery,David,Biery
"BLANTON, JOSHUA WESLEY SR.",S2KY00152,S,KY,,DEM,CHALLENGER,Joshua Wesley Sr. Blanton,Joshua Wesley Sr.,Blanton
"MERRILL, JOHN",S2KY00160,S,KY,,DEM,CHALLENGER,John Merrill,John,Merrill
"BLANKENSHIP, ARNOLD",S2KY00178,S,KY,,REP,CHALLENGER,Arnold Blankenship,Arnold,Blankenship
"HAMILTON, PAUL V",S2KY00186,S,KY,,REP,CHALLENGER,Paul Hamilton,Paul,Hamilton
"SCHIESS, JOHN",S2KY00194,S,KY,,REP,CHALLENGER,John Schiess,John,Schiess
"THOMASON, CHARLES LEE",S2KY00202,S,KY,0,DEM,,Charles Lee Thomason,Charles Lee,Thomason
"PARHAM, NICHOLAS",S2LA00127,S,LA,0,IND,CHALLENGER,Nicholas Parham,Nicholas,Parham
"MIXON, LUKE",S2LA00135,S,LA,0,DEM,CHALLENGER,Luke Mixon,Luke,Mixon
"VICTORIAN, MICHAEL DUKES",S2LA00143,S,LA,0,SLP,CHALLENGER,Michael Dukes Victorian,Michael Dukes,Victorian
"CHAMBERS, GARY JR.",S2LA00150,S,LA,0,DEM,CHALLENGER,Gary Jr. Chambers,Gary Jr.,Chambers
"STEIB, SYRITA",S2LA00168,S,LA,0,DEM,CHALLENGER,Syrita Steib,Syrita,Steib
"KYDER, ALBERT",S2LA00176,S,LA,0,REP,,Albert Kyder,Albert,Kyder
"MENDOZA, MANLIO VINICIO",S2LA00184,S,LA,0,DEM,,Vinny Mendoza,Vinny,Mendoza
"FARRIS, JADEN THOMAS MR.",S2MD00511,S,MD,0,DEM,CHALLENGER,Jaden Thomas Farris,Jaden Thomas,Farris
"SMITH, MICHELLE LAURENCE MS",S2MD00529,S,MD,0,DEM,CHALLENGER,Michelle Laurence Smith,Michelle Laurence,Smith
"MCGREEVEY, JONATHAN A DR",S2MD00545,S,MD,0,REP,CHALLENGER,Jonathan Mcgreevey,Jonathan,Mcgreevey
"TARANTIN, JAMES",S2MD00552,S,MD,0,REP,CHALLENGER,James Tarantin,James,Tarantin
"HAWKINS, REBA",S2MD00578,S,MD,0,REP,CHALLENGER,Reba Hawkins,Reba,Hawkins
"THORMANN, JOHN H. IV",S2MD00586,S,MD,0,REP,CHALLENGER,John IV Thormann,John IV,Thormann
"PEREZ, JOSEPH MR.",S2MD00594,S,MD,0,REP,CHALLENGER,Joseph Perez,Joseph,Perez
"FRIEND, LORIE R",S2MD00602,S,MD,0,REP,CHALLENGER,Lorie Friend,Lorie,Friend
