YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
1982,North Dakota,ND,272876,262465,480367,0.7%,322,0,0,322,,"476,682",57.24%,56.81%
1982,Ohio,OH,3551995,3395463,7793022,1.1%,"17,317",0,0,"17,317",,"7,689,982",46.19%,45.58%
1982,Oklahoma,OK,901488,883130,2346265,1.2%,"6,500","14,749","1,858","15,733",,"2,302,377",39.15%,38.42%
1982,Oregon,OR,1063913,1042009,1946116,2.4%,"3,900",0,0,"3,900",,"1,895,509",56.13%,54.67%
1982,Pennsylvania,PA,,3683985,8869173,1.2%,"10,508",0,0,"10,508",,"8,752,235",,
1982,Rhode Island,RI,370928,342779,723060,4.6%,"1,037","6,501",327,"4,615",,"685,184",54.14%,51.30%
1982,South Carolina,SC,688300,671625,2297223,0.7%,"9,137","16,981","3,175","20,803",,"2,260,339",30.45%,29.96%
1982,South Dakota,SD,,278562,492367,0.4%,791,0,0,791,,"489,607",,
1982,Tennessee,TN,,1259785,3393233,0.6%,"7,869","10,101","3,303","16,223",,"3,356,651",,
1982,Texas,TX,,3191091,10910762,4.9%,"36,149","177,270","26,274","151,058",,"10,225,077",,
1982,Utah,UT,537207,530802,984073,2.2%,0,0,0,0,,"962,423",55.82%,54.59%
1982,Vermont,VT,172084,169251,379067,1.6%,0,0,0,0,,"373,002",46.13%,45.40%
1982,Virginia,VA,,1415622,4076585,2.3%,"10,079","14,813","6,487","23,973",,"3,958,851",,
1982,Washington,WA,1404831,1368476,3138109,3.1%,"6,264","60,142","3,047","39,382",,"3,001,446",46.81%,44.77%
1982,West Virginia,WV,,565314,1409116,0.4%,"1,547","2,711",610,"3,513",,"1,399,967",,
1982,Wisconsin,WI,,1580344,3426394,1.0%,"4,714","19,603","3,125","17,641",,"3,374,489",,
1982,Wyoming,WY,172065,168555,349060,0.9%,702,"1,303",244,"1,598",,"344,320",49.97%,49.29%
1980,United States,,,86515221,164445475,3.5%,"324,410","618,471","168,331","801,977","1,803,021","159,690,927",,
1980,Alabama,AL,,1341929,2753078,0.4%,"6,543","10,985","2,547","14,583",,"2,727,483",,
1980,Alaska,AK,162653,158445,277261,2.0%,822,"1,181",93,"1,506",,"270,210",60.20%,58.66%
1980,Arizona,AZ,898183,873945,1968947,3.4%,"4,372","12,584","1,093","11,757",,"1,890,246",47.52%,45.62%
1980,Arkansas,AR,,837582,1624917,0.5%,"2,911","2,400","2,855","6,966",,"1,609,826",,
1980,California,CA,8775459,8587063,17551451,10.8%,"24,569",0,"15,253","39,822",,"15,616,072",56.20%,50.00%
1980,Colorado,CO,1225549,1184415,2118092,2.0%,"2,629",0,927,"3,556",,"2,072,174",59.14%,57.86%
1980,Connecticut,CT,1423403,1406285,2305904,3.8%,"4,308","22,981","1,932","17,731",,"2,200,549",64.68%,61.73%
1980,Delaware,DE,239136,235900,430879,1.3%,"1,474","3,762",619,"3,974",,"421,304",56.76%,55.50%
1980,District of Columbia,DC,178434,175237,496230,4.5%,"3,145",0,0,"3,145",,"470,755",37.90%,35.96%
1980,Florida,FL,,3686930,7575002,5.8%,"20,735","38,906","8,823","49,011",,"7,086,641",,
1980,Georgia,GA,,1596695,3870251,0.9%,"12,178","58,450","3,169","44,572",,"3,790,847",,
1980,Hawaii,HI,318026,303287,695906,6.9%,985,0,0,985,,"646,903",49.16%,45.70%
1980,Idaho,ID,446045,437431,644004,1.5%,817,0,0,817,,"633,527",70.41%,69.26%
1980,Illinois,IL,4868890,4749721,8216218,4.1%,"11,899",0,0,"11,899",,"7,867,454",61.89%,59.26%
1980,Indiana,IN,2275433,2242033,3885473,0.8%,"6,683",0,0,"6,683",,"3,847,706",59.14%,58.56%
1980,Iowa,IA,1314258,1317661,2093321,0.7%,"2,481","8,815",639,"7,528",,"2,071,140",63.46%,62.78%
1980,Kansas,KS,,979795,1726471,1.1%,"2,494",0,0,"2,494",,"1,704,986",,
1980,Kentucky,KY,,1294627,2592185,0.5%,"3,588","12,400","8,120","17,908",,"2,561,316",,
1980,Louisiana,LA,,1548591,2910776,1.1%,"8,889",0,0,"8,889",,"2,869,868",,
1980,Maine,ME,,523011,810240,1.3%,0,0,0,0,,"799,707",,
1980,Maryland,MD,1557709,1540496,3081409,2.7%,"7,731","41,661","6,436","34,998",,"2,963,213",52.57%,50.55%
1980,Massachusetts,MA,2566807,2524298,4281265,4.0%,0,0,0,0,,"4,110,014",62.45%,59.95%
1980,Michigan,MI,3978647,3909725,6514790,1.9%,"15,124",0,0,"15,124",,"6,375,885",62.40%,61.07%
1980,Minnesota,MN,2079451,2051980,2929927,1.0%,"2,001","27,000","1,534","17,035",,"2,883,593",72.11%,70.97%
1980,Mississippi,MS,,892620,1719825,0.4%,"3,902","4,864","2,292","8,626",,"1,704,320",,
1980,Missouri,MO,,2099824,3571609,0.7%,"5,726","17,400","2,395","16,821",,"3,529,787",,
1980,Montana,MT,371976,363952,559165,0.7%,739,0,0,739,,"554,512",67.08%,66.52%
1980,Nebraska,NE,651281,640854,1129653,0.8%,"1,446","7,980",292,"5,728",,"1,114,888",58.42%,57.65%
1980,Nevada,NV,297318,247885,602463,4.0%,"1,839","4,989","1,052","5,386",,"572,978",51.89%,49.35%
1980,New Hampshire,NH,402415,383990,671558,1.6%,326,0,0,326,,"660,487",60.93%,59.92%
1980,New Jersey,NJ,2999879,2975684,5420255,4.9%,"5,884","29,239","8,911","29,415",,"5,125,248",58.53%,55.35%
1980,New Mexico,NM,464848,456971,897946,2.3%,"1,279","2,794",884,"3,560",,"873,733",53.20%,51.77%
1980,New York,NY,6359218,6201959,12932357,6.8%,"21,815",0,"19,652","41,467",,"12,011,490",52.94%,49.17%
1980,North Carolina,NC,,1855833,4272156,0.7%,"15,513","36,467","6,496","40,243",,"4,202,008",,
1980,North Dakota,ND,314525,301545,465447,0.6%,253,0,0,253,,"462,401",68.02%,67.57%
1980,Ohio,OH,4378937,4283603,7732705,1.1%,"13,489",0,0,"13,489",,"7,634,156",57.36%,56.63%
1980,Oklahoma,OK,1172303,1149708,2201257,1.1%,"4,796","14,360","2,232","14,208",,"2,162,835",54.20%,53.26%
1980,Oregon,OR,1209691,1181516,1925651,2.2%,"3,177",0,0,"3,177",,"1,880,110",64.34%,62.82%
1980,Pennsylvania,PA,,4561501,8774885,1.2%,"8,171",0,0,"8,171",,"8,661,415",,
1980,Rhode Island,RI,423349,416072,709692,4.3%,813,"5,501",257,"3,821",,"675,354",62.69%,59.65%
1980,South Carolina,SC,922397,894071,2212354,0.6%,"7,862","20,589","3,124","21,281",,"2,177,799",42.35%,41.69%
1980,South Dakota,SD,,327703,486893,0.4%,635,0,0,635,,"484,310",,
1980,Tennessee,TN,,1617616,3318036,0.5%,"7,022","9,130","3,097","14,684",,"3,286,762",,
1980,Texas,TX,,4541636,10120613,4.3%,"29,892","131,996","17,235","113,125",,"9,572,302",,
1980,Utah,UT,609691,604222,934767,2.1%,0,0,0,0,,"915,137",66.62%,65.22%
1980,Vermont,VT,215500,213299,369147,1.6%,0,0,0,0,,"363,241",59.33%,58.38%
1980,Virginia,VA,,1866032,3927383,2.0%,"8,920","11,463","4,783","19,435",,"3,829,400",,
1980,Washington,WA,1772904,1742394,3037193,2.9%,"4,399","12,527","14,669","25,332",,"2,923,782",60.64%,58.37%
1980,West Virginia,WV,742150,737715,1396595,0.5%,"1,257","2,650",475,"3,057",,"1,386,555",53.52%,53.14%
1980,Wisconsin,WI,,2273221,3371087,1.0%,"3,980","19,088","2,639","16,163",,"3,321,213",,
1980,Wyoming,WY,181004,176713,330784,0.9%,534,940,154,"1,158",,"326,649",55.41%,54.72%
