YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
1988,Wisconsin,WI,,2191608,3558322,1.3%,"6,353","26,305","4,128","23,634",,"3,488,430",,
1988,Wyoming,WY,186417,176551,320695,1.0%,945,"2,186",333,"2,371",,"315,117",59.16%,58.13%
1986,United States,,,64991128,177922330,4.7%,"535,547","1,177,814","242,663","1,367,117","2,216,053","170,408,916",,
1986,Alabama,AL,,1236230,2911819,0.6%,"11,710","21,371","3,038","25,434",,"2,868,914",,
1986,Alaska,AK,182526,180801,364871,2.5%,"2,460","2,885",119,"4,022",,"351,727",51.89%,50.02%
1986,Arizona,AZ,889668,866984,2452624,4.6%,"9,434","20,283","2,034","21,610",,"2,318,193",38.38%,36.27%
1986,Arkansas,AR,,695487,1706578,0.6%,"4,701","12,700","4,023","15,074",,"1,681,265",,
1986,California,CA,7617142,7443551,20222886,14.7%,"59,484",0,"33,172","92,656",,"17,157,466",44.40%,37.67%
1986,Colorado,CO,1096867,1060765,2372880,2.4%,"3,804",0,"1,827","5,631",,"2,310,300",47.48%,46.23%
1986,Connecticut,CT,1025605,993692,2479722,4.3%,"6,905","41,304",603,"28,160",,"2,344,934",43.74%,41.36%
1986,Delaware,DE,165563,160757,470828,1.6%,"2,833","7,985",978,"7,804",,"455,491",36.35%,35.16%
1986,District of Columbia,DC,134158,131802,508553,6.5%,"6,618",0,"2,980","9,598",,"465,899",28.80%,26.38%
1986,Florida,FL,,3429996,9158241,7.3%,"32,237","139,859","3,478","105,645",,"8,384,044",,
1986,Georgia,GA,,1224948,4450093,1.5%,"16,922","109,485","10,421","82,086",,"4,301,256",,
1986,Hawaii,HI,344416,334115,775534,7.5%,"2,180",0,0,"2,180",,"715,189",48.16%,44.41%
1986,Idaho,ID,392909,387426,677205,1.9%,"1,448",0,0,"1,448",,"662,890",59.27%,58.02%
1986,Illinois,IL,3322657,3144185,8343755,4.9%,"19,456",0,0,"19,456",,"7,915,455",41.98%,39.82%
1986,Indiana,IN,1619005,1555505,3990379,0.9%,"10,175",0,0,"10,175",,"3,944,291",41.05%,40.57%
1986,Iowa,IA,922094,910623,2049547,0.9%,"2,777","12,584","1,929","10,998",,"2,020,103",45.65%,44.99%
1986,Kansas,KS,,840605,1788426,1.5%,"5,345",0,0,"5,345",,"1,756,255",,
1986,Kentucky,KY,,677280,2687605,0.5%,"5,288","6,841","3,370","12,079",,"2,662,088",,
1986,Louisiana,LA,,1369897,3069021,1.3%,"14,300",0,0,"14,300",,"3,014,824",,
1986,Maine,ME,,426861,870604,1.4%,0,0,0,0,,"858,416",,
1986,Maryland,MD,1161136,1112637,3401061,3.8%,"13,326","69,134","7,494","55,387",,"3,216,434",36.10%,34.14%
1986,Massachusetts,MA,1777276,1684079,4560556,5.1%,0,0,0,0,,"4,327,968",41.06%,38.97%
1986,Michigan,MI,2468009,2396564,6674856,2.0%,"20,742",0,0,"20,742",,"6,520,617",37.85%,36.97%
1986,Minnesota,MN,1456579,1415989,3089544,1.4%,"2,462","38,901","1,437","23,350",,"3,022,940",48.18%,47.15%
1986,Mississippi,MS,,523563,1804699,0.5%,"6,747","6,458","3,454","13,430",,"1,782,246",,
1986,Missouri,MO,,1477327,3717988,0.8%,"10,309","33,819","5,229","32,448",,"3,655,796",,
1986,Montana,MT,326436,317862,577604,0.8%,"1,111",0,0,"1,111",,"571,872",57.08%,56.52%
1986,Nebraska,NE,577916,564422,1141336,0.9%,"2,044","11,265",304,"7,981",,"1,123,083",51.46%,50.64%
1986,Nevada,NV,264365,261932,747283,5.1%,"4,551","5,518","1,529","8,839",,"700,333",37.75%,35.38%
1986,New Hampshire,NH,257410,250966,775686,1.9%,782,0,0,782,,"760,166",33.86%,33.18%
1986,New Jersey,NJ,1639330,1553544,5819614,6.4%,"12,020","51,359","14,064","51,764",,"5,395,395",30.38%,28.17%
1986,New Mexico,NM,408621,394833,1026160,3.2%,"2,416","4,175","1,147","5,651",,"987,672",41.37%,39.82%
1986,New York,NY,4481718,4293971,13512043,8.7%,"38,449",0,"29,325","67,774",,"12,268,721",36.53%,33.17%
1986,North Carolina,NC,,1591330,4749053,1.0%,"17,698","58,644","3,322","50,342",,"4,651,220",,
1986,North Dakota,ND,295177,289013,477812,0.7%,421,0,0,421,,"474,046",62.27%,61.78%
1986,Ohio,OH,3628870,3121189,7891503,1.1%,"22,463",0,0,"22,463",,"7,782,233",46.63%,45.98%
1986,Oklahoma,OK,934447,909925,2343190,1.3%,"9,708","22,740","1,670","22,748",,"2,289,981",40.81%,39.88%
1986,Oregon,OR,1088140,1059630,1990233,2.8%,"4,770",0,0,"4,770",,"1,929,736",56.39%,54.67%
1986,Pennsylvania,PA,,3388275,8955720,1.3%,"15,201",0,0,"15,201",,"8,824,095",,
1986,Rhode Island,RI,322724,305663,756297,5.2%,"1,358","8,174",453,"5,898",,"711,072",45.39%,42.67%
1986,South Carolina,SC,763493,753751,2437430,0.8%,"11,676","21,110","3,066","25,297",,"2,392,634",31.91%,31.32%
1986,South Dakota,SD,,295830,495833,0.5%,"1,081",0,0,"1,081",,"492,273",,
1986,Tennessee,TN,,1210339,3532177,0.7%,"7,591","26,291","8,600","29,337",,"3,478,115",,
1986,Texas,TX,,3442368,11732625,6.0%,"38,534","290,074","57,509","241,080",,"10,787,588",,
1986,Utah,UT,445499,435111,1049339,2.4%,0,0,0,0,,"1,024,155",43.50%,42.46%
1986,Vermont,VT,211709,196716,396034,1.6%,0,0,0,0,,"389,697",54.33%,53.46%
1986,Virginia,VA,,1233611,4394143,2.9%,"12,930","17,126","5,767","27,260",,"4,239,453",,
1986,Washington,WA,1358160,1337367,3310457,3.6%,"6,603","49,663","7,666","39,101",,"3,152,180",43.09%,41.03%
1986,West Virginia,WV,449249,410131,1380916,0.4%,"1,472","4,241",968,"4,561",,"1,370,831",32.77%,32.53%
1986,Wisconsin,WI,,1526960,3495584,1.2%,"5,736","24,648","3,854","21,914",,"3,431,723",,
