ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1001225508221416,1,0,0,0,0,0,0,0,0
x_1001225731781607,1,0,0,0,0,0,0,0,0
x_1001237711652147,0,0,0,0,0,0,1,0,0
x_1001245084710993,0,0,0,0,0,0,0,0,0
x_1001256287767935,1,0,0,0,0,0,0,0,0
x_1001274985067026,0,0,0,1,0,0,0,0,0
x_1001276828199158,0,0,1,0,0,0,0,0,0
x_1001278135068696,1,0,0,0,0,0,0,0,0
x_1001305418674408,0,0,0,1,0,0,0,0,0
x_1001314248441388,0,0,0,0,0,0,0,0,1
x_1001317605026527,0,0,0,0,0,0,0,0,1
x_1001325018461347,0,0,0,0,0,0,0,0,0
x_1001359285074636,0,0,0,0,0,0,0,1,1
x_1001383958104349,0,0,0,0,0,0,0,1,0
x_1001403295122489,0,0,0,1,0,0,0,0,1
x_1001408525094779,1,0,0,0,0,0,0,0,0
x_1001408875059810,1,0,0,0,0,0,0,0,0
x_1001409458340149,1,0,0,0,0,0,0,0,0
x_1001428868428088,0,0,0,0,0,0,0,0,1
x_1001437318447565,0,0,0,0,0,0,0,0,1
x_1001440114584501,0,0,0,0,0,0,0,0,0
x_1001445041778941,0,1,0,0,0,0,1,0,0
x_1001445705117772,0,0,0,1,0,0,0,1,1
x_1001460555012418,0,0,0,0,0,0,0,1,0
x_1001466161079802,0,0,0,0,0,0,0,1,0
x_1001466585087443,1,0,0,0,0,0,0,0,0
x_1001470888445566,0,0,1,0,0,0,0,0,0
x_1001476584803857,1,0,0,0,0,0,0,0,0
x_1001480595081890,0,0,0,1,0,0,0,0,0
x_1001497725063280,1,0,0,0,0,0,0,0,0
x_1001498765320074,0,0,0,1,0,0,0,0,0
x_1001508418415598,0,0,0,0,0,0,0,0,0
x_1001531834994095,0,0,0,0,0,0,0,0,1
x_1001549571728575,0,0,0,0,0,0,0,1,1
x_1001573321725804,0,0,0,1,0,0,0,1,0
x_1001579835312078,1,0,0,0,0,0,0,0,0
x_1001582791744911,0,0,0,0,0,0,0,0,1
x_1001602334983799,1,0,0,0,0,0,0,0,0
x_1001614172005173,0,0,0,0,0,0,0,0,0
x_1001615698406660,0,0,0,0,0,0,0,1,1
x_1001624418644721,0,0,1,0,0,0,0,0,0
x_1001627521446274,0,0,0,0,0,0,0,1,0
x_1001637915099294,1,0,0,0,0,0,0,0,0
x_1001655638398181,0,0,0,0,0,0,0,0,1
x_1001667494979373,1,0,0,0,0,0,0,0,0
x_1001682874844736,0,0,0,0,0,0,0,0,1
x_1001688098111650,0,0,0,0,0,0,0,1,1
x_1001693492000158,1,0,0,0,0,0,0,0,0
x_1001711291704771,0,0,0,0,0,0,0,1,1
x_1001717314985509,1,0,0,0,0,0,0,0,0
x_1001725018380692,0,0,0,0,0,0,0,0,0
x_1001732651689895,0,0,0,0,0,0,0,1,1
x_1001736464791555,0,0,0,0,0,0,0,0,0
x_1001760425015551,0,0,1,0,0,0,0,0,0
x_1001766865039409,0,0,0,1,0,0,0,1,0
x_1001772175296422,0,0,0,0,0,0,0,0,1
x_1001776901750238,0,0,0,1,0,0,0,0,0
x_1001778434384440,1,0,0,0,0,0,0,0,0
x_1001779444971768,0,0,0,1,0,0,0,1,0
x_1001821445021184,1,0,0,0,0,0,0,0,0
x_1001829367730647,0,0,0,0,0,0,0,1,1
x_1001849665029568,0,0,0,1,0,0,0,1,0
x_1001851368353459,0,0,0,0,0,0,0,1,0
x_1001855595041585,0,0,0,1,0,0,0,1,0
x_1001857477781802,0,0,0,0,0,0,0,0,0
x_1001863028345338,1,0,0,0,0,0,0,0,0
x_1001863681629867,0,0,0,0,0,0,0,0,1
x_1001891411686746,1,0,0,0,0,0,0,0,0
x_1001895861686560,0,0,0,0,0,0,0,0,0
x_1001915475022614,0,0,0,0,0,1,0,0,0
x_1001918951687938,0,0,0,0,0,0,0,1,0
x_1001926208398684,0,0,0,1,0,0,0,0,0
x_1001935648356520,0,0,0,0,0,0,0,1,0
x_1001960868326219,0,0,0,1,0,0,0,1,0
x_1001969841686087,0,0,0,0,0,0,0,1,1
x_1001972401701659,0,0,1,0,0,0,0,0,0
x_1002004658393244,0,0,0,0,0,0,0,1,1
x_1002008028490455,0,0,0,0,0,0,0,1,1
x_1002022291722044,0,0,0,1,0,0,0,1,0
x_1002024581681676,0,0,0,0,0,0,0,1,1
x_1002032311719952,0,0,0,0,0,0,0,1,1
x_1002036978072436,0,0,0,0,0,0,0,0,0
x_1002048705057816,0,0,0,0,0,0,0,1,1
x_1002049348129582,0,0,1,0,0,0,0,0,0
x_1002051187573420,1,0,0,0,0,0,0,0,0
x_1002072378270636,1,0,0,0,0,0,0,0,0
x_1002078591686793,0,0,1,0,0,0,0,0,0
x_1002084518269463,0,0,0,1,0,0,0,1,0
x_1002089178372201,0,0,0,0,0,0,0,0,0
x_1002105984762089,0,0,1,0,0,0,0,0,0
x_1002123881955559,0,0,0,0,0,0,0,1,1
